Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
blocker	"Yanko ""blocker"" Panov (born April 17, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Янко Панов	Yanko Panov	Bulgaria	April 17, 1997 (age 26)	Active	2015 – 2021, 2022 – Present			entry fragger				$148,332	Global Offensive	6,447,710	33
bubble	"Kamen ""bubble"" Kostadinov (born August 7, 1991) is a Bulgarian professional Counter-Strike: Global Offensive and former professional Counter-Strike player."	Камен Костадинов	Kamen Kostadinov	Bulgaria	August  7, 1991 (age 32)	Active	2011 – Present						Johnny Cage	$281,570	Global Offensive	6,447,710	33
CeRq	"Tsvetelin ""CeRq"" Dimitrov (born December 7, 1999) is a Bulgarian professional Counter-Strike: Global Offensive player."	Цветелин Димитров	Tsvetelin Dimitrov	Bulgaria	December  7, 1999 (age 23)	Active	2016 – Present			AWPer				$406,495	Global Offensive	6,447,710	33
dennyslaw	"Denislav ""dennyslaw"" Dimitrov (born November 17, 1999) is a Bulgarian professional Counter-Strike: Global Offensive player."	Денислав Димитров Димитров	Denislav Dimitrov Dimitrov	Bulgaria	November 17, 1999 (age 23)	Active	2018 – Present			AWPer	500		denis2K	$112,930	Global Offensive	6,447,710	33
doublemagic	"Veselin ""doublemagic"" Angelov (born May 31, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Веселин Ангелов	Veselin Angelov	Bulgaria	May 31, 1997 (age 26)	Active	2016 – Present							$6,483	Global Offensive	6,447,710	33
dream3r	"Simeon ""dream3r"" Ganev (born January 28, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player. He was previously banned from Valve-sponsored events due to a VAC ban issued on October 25, 2014, but has been unbanned following Counter-Strike's ""New RMR Eligibility Guidelines"" blog post."	Симеон Ганев	Simeon Ganev	Bulgaria	January 28, 1997 (age 26)	VAC Banned	2013 – Present			Rifler				$90,793	Global Offensive	6,447,710	33
Duplicate	"Viktor ""Duplicate"" Mitev (born May 21, 2001) is a Bulgarian professional Counter-Strike: Global Offensive player."	Виктор Митев	Viktor Mitev	Bulgaria	May 21, 2001 (age 22)	Active	2018 – Present			Rifler				$53,655	Global Offensive	6,447,710	33
h4rn	"Deyvid ""h4rn"" Benchev (born June 7, 2000) is a Bulgarian professional Counter-Strike: Global Offensive player."	Дейвид Бенчев	Deyvid Benchev	Bulgaria	June  7, 2000 (age 23)	Active	2019 – Present				Pompa Team			$62,886	Global Offensive	6,447,710	33
hybrid	"Mitko ""hybrid"" Kostov  is a Bulgarian professional Counter-Strike: Global Offensive player."	Митко Костов	Mitko Kostov	Bulgaria		Active	2019 – Present			Rifler	The Chosen Few		hybriD, hybriDd	$3,525	Global Offensive	6,447,710	33
KalubeR	"Kalin ""KalubeR"" Erenditsov (born November 15, 2000) is a Bulgarian professional Counter-Strike: Global Offensive player."	Калин Калинов Ерендицов	Kalin Kalinov Erenditsov	Bulgaria	November 15, 2000 (age 22)	Active	2016 – Present			Rifler	500			$23,786	Global Offensive	6,447,710	33
Krs7N	"Kristiyan ""Krs7N"" Mladenov (born February 8, 2003) is a Bulgarian professional Counter-Strike: Global Offensive player."	Кристиян Младенов	Kristiyan Mladenov	Bulgaria	February  8, 2003 (age 20)	Active	2019 – Present			Rifler				$5,396	Global Offensive	6,447,710	33
mar	"Martin ""mar"" Kuyumdzhiev (born June 28, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Мартин Куюмджиев	Martin Kuyumdzhiev	Bulgaria	June 28, 1997 (age 26)	Active	2018 – Present			Rifler				$25,401	Global Offensive	6,447,710	33
milky	"Milen ""milky"" Iliev (born May 12, 2001) is a Bulgarian professional Counter-Strike: Global Offensive player."	Милен Илиев	Milen Iliev	Bulgaria	May 12, 2001 (age 22)	Active	2018 – Present			Rifler	Ambush			$3,276	Global Offensive	6,447,710	33
niki1	"Nikolay ""niki1"" Panteleev (born December 6, 1990) is a Bulgarian professional Counter-Strike: Global Offensive player."	Николай Пантелеев	Nikolay Panteleev	Bulgaria	December  6, 1990 (age 32)	Active	2015 – Present				500			$52,323	Global Offensive	6,447,710	33
Oxygen	"Blagoy ""Oxygen"" Dimitrov (born May 15, 2003) is a Bulgarian professional Counter-Strike: Global Offensive player."	Благой Димитров	Blagoy Dimitrov	Bulgaria	May 15, 2003 (age 20)	Active	2019 – Present			Rifler	Entropiq		oxygeN	$41,221	Global Offensive	6,447,710	33
Patrick	"Ivan ""Patrick"" Ivanov (born October 15, 1998) is a Bulgarian professional Counter-Strike: Global Offensive player."	Иван Иванов	Ivan Ivanov	Bulgaria	October 15, 1998 (age 24)	Active	2015 – Present			Rifler	500			$38,254	Global Offensive	6,447,710	33
pNshr	"Nikolay ""pNshr"" Paunin (born December 17, 1991) is a Bulgarian professional Counter-Strike: Global Offensive coach, former player and former Counter-Strike player. In September 2020, pNshr received a 3.75-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at SKADE.  Additionally, pNshr received a one Major ban in January 2021 from Valve due to exploiting the coaching bug."	Николай Паунин	Nikolay Paunin	Bulgaria	December 17, 1991 (age 31)	Valve Banned	2010 – 2019	2019 – Present		Coach				$35,769	Global Offensive	6,447,710	33
poizon	"Valentin ""poizon"" Vasilev (born November 29, 1998) is a Bulgarian professional Counter-Strike: Global Offensive player."	Валентин Василев	Valentin Vasilev	Bulgaria	November 29, 1998 (age 24)	Active	2015 – Present			AWPer			poiz0n, poiz, poizy	$302,645	Global Offensive	6,447,710	33
POP0V	"Kaloyan ""POP0V"" Popov (born December 10, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Калоян Попов	Kaloyan Popov	Bulgaria	December 10, 1997 (age 25)	Active	2018 – Present			In-game leader	RGW esports			$3,924	Global Offensive	6,447,710	33
rafftu	"Kostadin ""rafftu"" Turbinov (born October 23, 1999) is a Bulgarian professional Counter-Strike: Global Offensive player."	Костадин Турбинов	Kostadin Turbinov	Bulgaria	October 23, 1999 (age 23)	Active	2018 – Present			Rifler				$17,281	Global Offensive	6,447,710	33
Rainwaker	"Aleks ""Rainwaker"" Petrov (born April 27, 2001) is a Bulgarian professional Counter-Strike: Global Offensive player."	Алекс Огнянов Петров	Aleks Ognyanov Petrov	Bulgaria	April 27, 2001 (age 22)	Active	2017 – Present				Team Liquid			$121,889	Global Offensive	6,447,710	33
REDSTAR	"Hristiyan ""REDSTAR"" Pironkov (born August 15, 2001) is a Bulgarian professional Counter-Strike: Global Offensive player."	Християн Пиронков	Hristiyan Pironkov	Bulgaria	August 15, 2001 (age 22)	Active	2017 – Present			AWPer	500		REDS7AR	$115,700	Global Offensive	6,447,710	33
Rock1nG	"Ivan ""Rock1nG"" Stratiev (born August 19, 1996) is a Bulgarian professional Counter-Strike: Global Offensive coach and former player."	Иван Стратиев	Ivan Stratiev	Bulgaria	August 19, 1996 (age 27)	Active	2015 – 2022, 2023 – Present	2023						$26,480	Global Offensive	6,447,710	33
shaiK	"Kaloyan ""shaiK"" Borisov (born September 29, 2002) is a Bulgarian professional Counter-Strike: Global Offensive player."	Калоян Борисов	Kaloyan Borisov	Bulgaria	September 29, 2002 (age 21)	Active	2018 – Present				The Chosen Few			$5,597	Global Offensive	6,447,710	33
SHiPZ	"Georgi ""SHiPZ"" Grigorov (born August 16, 2000) is a Bulgarian professional Counter-Strike: Global Offensive player."	Георги Григоров	Georgi Grigorov	Bulgaria	August 16, 2000 (age 23)	Active	2016 – Present			Rifler	500		shpzTANK, SHiPZ1017	$292,903	Global Offensive	6,447,710	33
SPELLAN	"Teodor ""SPELLAN"" Nikolov (born November 13, 1997) is a Bulgarian professional Counter-Strike: Global Offensive player."	Теодор Ивайлов Николов	Teodor Ivaylov Nikolov	Bulgaria	November 13, 1997 (age 25)	Active	2016 – Present				The Chosen Few			$69,528	Global Offensive	6,447,710	33
spyleadeR	"Emiliyan ""spyleadeR"" Dimitrov (born October 26, 1989) is a Bulgarian professional Counter-Strike: Global Offensive player and coach and former professional Counter-Strike player."	Емилиян Димитров	Emiliyan Dimitrov	Bulgaria	October 26, 1989 (age 33)	Active	2012 – 2022	2019 – 2020, 2023 – Present						$37,357	Global Offensive	6,447,710	33
ToH1o	"Anton ""ToH1o"" Georgiev (born June 30, 1989) is a Bulgarian professional Counter-Strike: Global Offensive coach. In September 2020, ToH1o received a 10-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at ex-Outlaws and Windigo Gaming.  Additionally, ToH1o received a five Major ban in January 2021 from Valve due to exploiting the coaching bug.  On June 15, 2021, it was announced that his ESIC ban had been fully overturned by the ESIC appeals board.  Additionally, on March 1, 2023, ToH1o's five Major ban was commuted, allowing him to participate in Valve-sponsored events again."	Антон Георгиев	Anton Georgiev	Bulgaria	June 30, 1989 (age 34)	Active		2017 – Present		Coach	NIP Impact				Global Offensive	6,447,710	33
v1c7oR	"Viktor ""v1c7oR"" Dyankov (born July 28, 1994) is a Bulgarian professional Counter-Strike: Global Offensive player."	Виктор Дянков	Viktor Dyankov	Bulgaria	July 28, 1994 (age 29)	Active	2012 – Present			entry fragger				$220,582	Global Offensive	6,447,710	33
viltrex	"Valentin ""viltrex"" Tsvetanov (born April 19, 2002) is an Bulgarian professional Counter-Strike: Global Offensive player."	Valentin Tsvetanov		Bulgaria	April 19, 2002 (age 21)	Active	2018 – Present			Rifler				$3,424	Global Offensive	6,447,710	33
Zix	"Krasen ""Zix"" Minchev (born September 24, 1998) is a Bulgarian professional Counter-Strike: Global Offensive player."	Красен Минчев	Krasen Minchev	Bulgaria	September 24, 1998 (age 25)	Active	2016 – Present			Rifler				$14,084	Global Offensive	6,447,710	33
Knoxville	"Stefan ""Knoxville"" Peynov (born September 24, 1993) is a German professional Counter-Strike: Global Offensive player of Bulgarian descent."	Stefan Peynov		Bulgaria	September 24, 1993 (age 30)	Active	2017 – Present			AWPer				$9,602	Global Offensive	6,447,710	33
prakM	"Mon ""prakM"" Prak (born March 25, 1996) is an Australian-Cambodian professional Counter-Strike: Global Offensive player. He was previously retired from 2019 to 2020."	ប្រាក់ ម៉ុនតេរ៉ា	Prak Montheara	Cambodia	March 25, 1996 (age 27)	Active	2015 – 2019, 2020 – Present						Sora	$3,839	Global Offensive		1
BeaKie	"Brody ""BeaKie"" Kelly (born November 21, 2001) is a Canadian professional Counter-Strike: Global Offensive player."	Brody Kelly		Canada	November 21, 2001 (age 21)	Active	2020 – Present				Reason Gaming		BeaKiew0w	$3,792	Global Offensive		25
Bouchard	"Julie ""Bouchard"" Bouchard (born September 14, 1995) is a Canadian professional Counter-Strike: Global Offensive player."	Julie Bouchard		Canada	September 14, 1995 (age 28)	Active	2016 – 2021, 2022 – Present			Rifler	Shimmer			$13,915	Global Offensive		25
daps	"Damian ""daps"" Steele (born July 28, 1993) is a Canadian professional Counter-Strike: Global Offensive coach for Team Liquid and former player of Argentine descent. Before his brief stint in VALORANT,  he played for many top North American teams such as Team Liquid, OpTic Gaming, NRG Esports, Cloud9, and Gen.G Esports."	Damian Steele		Canada	July 28, 1993 (age 30)	Active	2012 – 2017, 2017 – 2020, 2022	2017 2021 2022 – Present		Coach	Team Liquid			$264,020	Global Offensive		25
djay	"Jonathan ""djay"" Dallal (born July 30, 1993) is a Canadian professional Counter-Strike: Global Offensive player."	Jonathan Dallal		Canada	July 30, 1993 (age 30)	Active	2015 – Present			Rifler				$69,517	Global Offensive		25
FaNg	"Justin ""FaNg"" Coakley (born May 7, 2002) is a Canadian professional Counter-Strike: Global Offensive player for Complexity Gaming."	Justin Coakley		Canada	May  7, 2002 (age 21)	Active	2018 – Present			entry fragger	Complexity Gaming			$105,711	Global Offensive		25
freshie	"Adam ""freshie"" Paterson (born April 26, 2002) is a Canadian professional Counter-Strike: Global Offensive player for Wildcard Gaming."	Adam Paterson		Canada	April 26, 2002 (age 21)	Active	2019 – Present			Rifler	Wildcard Gaming		frvshie	$16,827	Global Offensive		25
gloRinsz	"Mitch ""gloRinsz"" MacInnis is a Canadian professional Counter-Strike: Global Offensive player. He previously retired in 2018 before returning to competition in 2023."	Mitch MacInnis		Canada		Active	2013 – 2018, 2023 – Present				ViBE Esports			$5,791	Global Offensive		25
GooseBreeder	"Mounira ""GooseBreeder"" Dobie (born December 8, 1995) is a Canadian professional Counter-Strike: Global Offensive player."	Mounira Dobie		Canada	December  8, 1995 (age 27)	Active	2015 – Present				FlyQuest RED			$53,298	Global Offensive		25
HexT	"Jadan ""HexT"" Postma (born October 30, 2001) is a Canadian professional Counter-Strike: Global Offensive player for Evil Geniuses."	Jadan Postma		Canada	October 30, 2001 (age 21)	Active	2017 – Present			entry fragger	Evil Geniuses			$45,327	Global Offensive		25
INCREDIBLE	"Mathieu ""INCREDIBLE"" Bergeron (formerly known as INCRED) (born November 7, 1993) is a Canadian professional Counter-Strike: Global Offensive player."	Mathieu Bergeron		Canada	November  7, 1993 (age 29)	Active	2016 – 2021, 2023 – Present			AWPer	Miracle		INCRED	$7,354	Global Offensive		25
Inseaniac	"Sean ""Inseaniac"" Morrison is a Canadian professional Counter-Strike: Global Offensive player."	Sean Morrison		Canada		Active	2017 – Present							$3,801	Global Offensive		25
J0LZ	"David ""J0LZ"" Jolin (born March 28, 2000) is a Canadian professional Counter-Strike: Global Offensive player."	David Jolin		Canada	March 28, 2000 (age 23)	Active	2017 – Present			Rifler	WITHOUTWARNING			$38,641	Global Offensive		25
Jonji	"Jonathan ""Jonji"" Carey (born September 5, 1999) is a Canadian professional Counter-Strike: Global Offensive player. He most notably played for Riot Squad Esports, Chaos Esports Club, and Bad News Bears before a stint in VALORANT, where he briefly played for BBG's academy team in late 2021."	Jonathan Carey		Canada	September  5, 1999 (age 24)	Active	2016 – 2021, 2022 – 2023, 2023 – Present			entry fragger			Jonji-JLC	$121,227	Global Offensive		25
KayJay	"Kieran ""KayJay"" Playfair (born May 20, 1996) is an Canadian professional Counter-Strike: Global Offensive coach and former analyst."	Kieran Playfair		Canada	May 20, 1996 (age 27)	Active		2019 – Present	2015 – 2016	Assistant Coach	Bad News Eagles		KJ, KJP831		Global Offensive		25
KOLER	"Yannick ""KOLER"" Blanchette (born September 4, 1995) is a Canadian professional Counter-Strike: Global Offensive player. He retired on May 10, 2020 to pursue a career in VALORANT."	Yannick Blanchette		Canada	September  4, 1995 (age 28)	Active	2017 – 2020, 2023 – Present			Rifler				$3,631	Global Offensive		25
Melio	"Cedric ""Melio"" Perrault (born August 10, 2000) is a Canadian professional Counter-Strike: Global Offensive player."	Cedric Perrault		Canada	August 10, 2000 (age 23)	Active	2018 – Present				Miracle		M3lio, clotere72	$8,244	Global Offensive		25
NAF	"Keith ""NAF"" Markovic (also known as NAF-FLY) (born November 24, 1997) is a Canadian professional Counter-Strike: Global Offensive player for Team Liquid."	Keith Jordan Markovic		Canada	November 24, 1997 (age 25)	Active	2013 – Present			Rifler	Team Liquid		NAF-FLY	$1,226,799	Global Offensive		25
PNDLM	"Darius ""PNDLM"" Bandali (born October 31, 2000) is a Canadian professional Counter-Strike: Global Offensive player."	Darius Bandali		Canada	October 31, 2000 (age 22)	Active	2020 – Present				the jungle			$5,009	Global Offensive		25
rain	"Amanda ""rain"" Smith (born January 9, 1995) is a Canadian professional Counter-Strike: Global Offensive player."	Amanda Smith		Canada	January  9, 1995 (age 28)	Active	2014 – 2021, 2023 – Present			Rifler	Team Karma			$39,538	Global Offensive		25
