Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
648	"Gabriel ""648"" Lemesi is an Argentine professional  Counter-Strike: Global Offensive player and former Counter-Strike player."	Gabriel Lemesi		Argentina	June 24, 1996 (age 27)	Active	2011 – Present						GAB	$3,579	Global Offensive		62
abizz	"Matias ""abizz"" Muñiz Cusi (born September 1, 2004) is an Argentinian professional Counter-Strike: Global Offensive player for River Plate Gaming."	Matias Muñiz Cusi		Argentina	September  1, 2004 (age 19)	Active	2019 – Present			support	River Plate Gaming		Abichuela	$6,222	Global Offensive		62
ABM	"Leonardo ""ABM"" Acuña (born April 25, 1996) is an Argentinian professional Counter-Strike: Global Offensive player."	Leonardo Martín Mariano Acuña		Argentina	April 25, 1996 (age 27)	Active	2019 – Present			entry fragger	EBRO			$3,097	Global Offensive		62
arieldidi	"Ariel ""arieldidi"" Ramirez (born December 21, 1994) is an Argentine professional Counter-Strike: Global Offensive player."	Ariel Ramirez		Argentina	December 21, 1994 (age 28)	Active	2015 – Present			Rifler				$8,384	Global Offensive		62
atarax1a	"Joaquín ""atarax1a"" Biglieri (born March 1, 2002) is an Argentinian professional Counter-Strike: Global Offensive player for Boca Juniors Gaming."	Joaquin Biglieri		Argentina	March  1, 2002 (age 21)	Active	2017 – Present			AWPer	Boca Juniors Gaming		bejota	$10,989	Global Offensive		62
BIG	"Lucas ""BIG"" Mariotta (born June 28, 1991) is an Argentinian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player."	Lucas Mariotta		Argentina	June 28, 1991 (age 32)	Active	2006 – 2017	2017 – Present		Coach				$56	Global Offensive		62
BK1	"Nicolas ""BK1"" Cespedes (born December 14, 1998) is an Argentinian professional Counter-Strike: Global Offensive player for Boca Juniors Gaming."	Nicolas Cespedes		Argentina	December 14, 1998 (age 24)	Active	2019 – Present			entry fragger	Boca Juniors Gaming		BK1-	$9,567	Global Offensive		62
buda	"Nicolás ""buda"" Kramer (born February 24, 2003) is an Argentinian professional Counter-Strike: Global Offensive player."	Nicolás Kramer		Argentina	February 24, 2003 (age 20)	Active	2018 – Present			entry fragger	9z Team			$30,056	Global Offensive		62
BunnyAzul	"Ana ""BunnyAzul"" Giglio (born September 19, 2003) is an Argentinian professional Counter-Strike: Global Offensive player."	Ana Azul Giglio		Argentina	September 19, 2003 (age 20)	Active	2021 – Present			entry fragger				$8,590	Global Offensive		62
chjna4Q	"Evelin ""chjna4Q"" Acuña (born April 11, 1995) is an Argentinian professional Counter-Strike: Global Offensive player. She retired from competitive Counter-Strike on October 15, 2021 to pursue a career in VALORANT, but returned on September 6, 2022 to play for MIBR Female."	Evelin Denisse Acuña		Argentina	April 11, 1995 (age 28)	Active	2016 – 2021, 2022 – Present			Rifler	MIBR Female		chjna4q, chjna	$9,533	Global Offensive		62
coMplot	"Matias ""coMplot"" Gayoso is an Argentine professional Counter-Strike: Global Offensive player."	Matias Gayoso		Argentina		Active	2014 – Present			support				$1,127	Global Offensive		62
Cxxxviii	"Patricio ""cxxxviii"" Cabrio (born December 6, 1988) is an Argentine professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Patricio Cabrio		Argentina	December  6, 1988 (age 34)	Active	2004 – 2012, 2022 – Present							$1,491	Global Offensive		62
deco	"Marcos ""deco"" Amato (formerly known as decov9jse) (born September 12, 1997) is an Argentine professional Counter-Strike: Global Offensive player for BESTIA."	Marcos Amato		Argentina	September 12, 1997 (age 26)	Active	2018 – Present			entry fragger	BESTIA		decov9jse	$48,445	Global Offensive		62
dinamo	"Rodrigo ""dinamo"" Haro (born February 5, 1993) is an Argentinian professional Counter-Strike: Global Offensive coach and former Counter-Strike: Source and CS:GO player. In September 2020, dinamo received a 10-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at Furious Gaming.  Additionally, dinamo received a five Major ban in January 2021 from Valve due to exploiting the coaching bug."	Rodrigo Haro		Argentina	February  5, 1993 (age 30)	Valve Banned	2011 – 2018	2018 – Present		Coach	River Plate Gaming			$672	Global Offensive		62
EmaDlz	"Lucas ""EmaDlz"" Lopez (born June 15, 2002) is an Argentinian professional Counter-Strike: Global Offensive player."	Lucas Emanuel Lopez		Argentina	June 15, 2002 (age 21)	Active	2018 – Present			Rifler			Emadlz	$1,818	Global Offensive		62
fakzwall	"Facundo ""fakzwall"" Guzman (born January 5, 2000) is an Argentinian professional Counter-Strike: Global Offensive player."	Facundo Agustín Guzman		Argentina	January  5, 2000 (age 23)	Active	2018 – Present			AWPer	WINDINGO			$9,689	Global Offensive		62
gAtito	"Sacha ""gAtito"" Carruccio (born February 8, 1994) is an Argentinian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Sacha Carruccio		Argentina	February  8, 1994 (age 29)	Active	2015 – 2022, 2022 – Present							$2,344	Global Offensive		62
Gooden	"Sebastian ""Gooden"" Palacios (born November 11, 1999) (formerly known as iKrystal) is an Argentinian professional Counter-Strike: Global Offensive player."	Carlos Sebastian Palacios Cavion		Argentina	November 11, 1999 (age 23)	Active	2017 – Present						iKrystal	$5,905	Global Offensive		62
guidimon	"Guido ""guidimon"" Romano (born April 7, 1997) is an Argentinian professional Counter-Strike: Global Offensive player for River Plate Gaming."	Guido Romano		Argentina	April  7, 1997 (age 26)	Active	2018 – Present				River Plate Gaming		guidimonster, guidimon, m0nster, MONSTER	$7,001	Global Offensive		62
